Source,Description,Link 
Health Canada,Abrysvo monograph,https://pdf.hres.ca/dpd_pm/00082124.PDF
Health Canada,Arexvy monograph,https://pdf.hres.ca/dpd_pm/00077616.PDF
Health Canada,Beyfortus monograph,https://health-products.canada.ca/dpd-bdpp/info?lang=eng&code=102595
Public Health agency of Canada,NACI recommandations,https://www.canada.ca/content/dam/phac-aspc/documents/services/publications/vaccines-immunization/national-advisory-committee-immunization-statement-prevention-rsv-disease-older-adults/naci-statement-2024-07-12.pdf
Province of AB,Provincial eligibility criteria,"https://abpharmacy.ca/news/rsv-immunization-program-eligibility-expansion/#:~:text=As%20of%20March%2010%2C%202025%2C%20Alberta%20Health,that%20participate%20in%20provincially%20funded%20vaccine%20programs"
Province of ON,Provincial eligibility criteria,https://www.ontario.ca/page/respiratory-syncytial-virus-rsv-prevention-programs
Province of BC,Provincial eligibility criteria,"https://www.healthlinkbc.ca/healthlinkbc-files/respiratory-syncytial-virus-rsv-vaccine#:~:text=Use%20the%20Clinic%20Locator%20on,illness%20due%20to%20structural%20inequity."
Province of MB,Provincial eligibility criteria,https://www.gov.mb.ca/health/publichealth/cdc/vaccineeligibility.html#RSV
Province of NB,Provincial eligibility criteria,https://www2.gnb.ca/content/gnb/en/departments/health/DrugPlans/TheNewBrunswickPrescriptionDrugProgram/publichealthplan/rsv-vaccine.html
Province of NL,Provincial eligibility criteria,https://www.gov.nl.ca/releases/2025/health/0328n04/
Province of NS,Provincial eligibility criteria,https://novascotia.ca/dhw/CDPC/documents/Respiratory-Syncytial-Virus-FAQ.pdf
Province of PEI,Provincial eligibility criteria,"https://www.princeedwardisland.ca/en/news/province-expands-rsv-protection-for-infants-and-seniors#:~:text=August%2019%2C%202025,through%20the%20province%27s%20immunization%20program"
Province of Qc,Provincial eligibility criteria,https://msss.gouv.qc.ca/professionnels/vaccination/piq-vaccins/vrs-vaccin-contre-virus-respiratoire-syncytial/
Province of SK,Provincial eligibility criteria,https://www.lungsask.ca/education/lung-diseases/viral-infections/rsv-respiratory-syncytial-virus/treatment-and-prevention
Territory - NWT,Provincial eligibility criteria,https://www.hss.gov.nt.ca/professionals/sites/professionals/files/resources/nwt-immunization-schedule-health-care-professionals.pdf
Territory - Nunavut,Provincial eligibility criteria,http://www.news.gov.nu.ca/2024/december/2024-12%20PSA%20%28HEA%29%20RSV%20Prevention%20Program%20in%20Nunavut%20-%20ENG.pdf
Territory - Yukon,Provincial eligibility criteria,https://yukon.ca/sites/default/files/2025-09/Section8.RSVVaccines.YIPManual.08.2025.pdf
Pubmed,Other - Summary of NACI recommandation,https://pmc.ncbi.nlm.nih.gov/articles/PMC12407579/
Governement of Canada,Other - Statement on the prevention of respiratory syncytial virus disease in older adults,https://www.canada.ca/en/public-health/services/publications/vaccines-immunization/national-advisory-committee-immunization-statement-prevention-rsv-disease-older-adults.html
Centers for disease control and prevention,Other - Weekly RSV vaccination Dashboard,https://www.cdc.gov/rsvvaxview/dashboard/index.html
